% 150 routers. went from 9352 random to 9933.
>> 9352/cover

ans =

    0.6483

>> 9933/cover

ans =

    0.6886

>> [x,fval,exitflag,output,population,scores] = ...
    ga(objfun, nvars,[],[],[],[],LB,UB,[], IntCon, options);

                                  Best          Mean         Stall
Generation      Func-count     Penalty         Penalty    Generations
    1               40           -9352           -6922        0
    2               60           -9352           -6993        1
    3               80           -9352           -7631        2
    4              100           -9354           -8183        0
    5              120           -9354           -8522        1
    6              140           -9356           -8743        0
    7              160           -9356           -9081        1
    8              180           -9372           -9294        0
    9              200           -9372           -8981        1
   10              220           -9374           -9086        0
   11              240           -9374           -9039        1
   12              260           -9374           -9176        2
   13              280           -9374           -8992        3
   14              300           -9379           -9372        0
   15              320           -9379           -8893        1
   16              340           -9390           -9195        0
   17              360           -9390           -8883        1
   18              380           -9394           -9315        0
   19              400           -9394           -9364        1
   20              420           -9397           -9376        0
   21              440           -9398           -9346        0
   22              460           -9400           -9361        0
   23              480           -9400           -9352        1
   24              500           -9402           -9370        0
   25              520           -9402           -9138        1
   26              540           -9402           -8873        2
   27              560           -9402           -9393        3
   28              580           -9402           -9124        4
   29              600           -9402           -9339        5

                                  Best          Mean         Stall
Generation      Func-count     Penalty         Penalty    Generations
   30              620           -9402           -9286        6
   31              640           -9402           -8841        7
   32              660           -9402           -9353        8
   33              680           -9402           -9019        9
   34              700           -9402           -9364       10
   35              720           -9402           -9330       11
   36              740           -9402           -9160       12
   37              760           -9402           -9388       13
   38              780           -9402           -9400       14
   39              800           -9404           -9384        0
   40              820           -9406           -9135        0
   41              840           -9406           -9233        1
   42              860           -9406           -9209        2
   43              880           -9408           -9362        0
   44              900           -9410           -9402        0
   45              920           -9410           -9403        1
   46              940           -9410           -9404        2
   47              960           -9410           -9354        3
   48              980           -9411           -9375        0
   49             1000           -9411           -9154        1
   50             1020           -9411           -9349        2
   51             1040           -9411           -8946        3
   52             1060           -9411           -8675        4
   53             1080           -9411           -9387        5
   54             1100           -9411           -9394        6
   55             1120           -9411           -9353        7
   56             1140           -9411           -8866        8
   57             1160           -9416           -9227        0
   58             1180           -9453           -9329        0
   59             1200           -9453           -8832        1

